id,lmax1,lmax2,ln1,la1,r1,r2,maxB
gnahDaTiDS,44.416,7.658,4.27,3.005,2.94,0.75,0
GwDj5nAO3n,44.416,7.658,0.96,3.005,2.94,0.75,0
hbBhOIFQOd,44.416,7.658,3.37,3.005,2.94,0.75,0
HcGld3LfdF,44.416,7.658,4.98,3.005,2.94,0.75,0
hSNLd4Z0mt,44.416,7.658,3.6,3.005,2.94,0.75,0
hz54o0eha0,44.416,7.658,2.63,3.005,2.94,0.75,0
I1bMCr8i5s,44.416,7.658,3.93,3.005,2.94,0.75,0
I1eenfkLJR,44.416,7.658,3.57,3.005,2.94,0.75,0
iBR2uVJl9b,44.416,7.658,2.79,3.005,2.94,0.75,0
IByz6ijqHv,44.416,7.658,1.98,3.005,2.94,0.75,0
IedHVuUtDy,44.416,7.658,2.11,3.005,2.94,0.75,0
IHZdbYA99H,44.416,7.658,2.75,3.005,2.94,0.75,0
iiwIhCzuD2,44.416,7.658,3.23,3.005,2.94,0.75,0
IMBaTzkyRt,44.416,7.658,0.95,3.005,2.94,0.75,0
iNfqC6un08,44.416,7.658,3.74,3.005,2.94,0.75,0
iOLTtnU20M,44.416,7.658,3.48,3.005,2.94,0.75,0
IQMMm84wr5,44.416,7.658,4.47,3.005,2.94,0.75,0
iSh1DWv4nB,44.416,7.658,2.51,3.005,2.94,0.75,0
J9oOc3BgSQ,44.416,7.658,2.3,3.005,2.94,0.75,0
JfawKTv1Un,44.416,7.658,3.11,3.005,2.94,0.75,0
JoDbzAkmxG,44.416,7.658,4.4,3.005,2.94,0.75,0
JOwzFAK4Z3,44.416,7.658,1.83,3.005,2.94,0.75,0
JROoAcOgcY,44.416,7.658,2.47,3.005,2.94,0.75,0
k8VQ5tXSJB,44.416,7.658,2.77,3.005,2.94,0.75,0
KcfTTEWHmc,44.416,7.658,4.22,3.005,2.94,0.75,0
kDhNKFUjWK,44.416,7.658,0.84,3.005,2.94,0.75,0
KDnCTvAIVB,44.416,7.658,2.66,3.005,2.94,0.75,0
KhDPDChTvv,44.416,7.658,1.53,3.005,2.94,0.75,0
KjqhLGDQqX,44.416,7.658,0.47,3.005,2.94,0.75,0
kztXEkhCRv,44.416,7.658,3.93,3.005,2.94,0.75,0
LMhWqz7lsU,44.416,7.658,0.37,3.005,2.94,0.75,0
LRacFMKmcK,44.416,7.658,2.9,3.005,2.94,0.75,0
m9BiJPHjjx,44.416,7.658,3.06,3.005,2.94,0.75,0
m9cT0x4B8A,44.416,7.658,0.33,3.005,2.94,0.75,0
MA2D7swGUF,44.416,7.658,3.25,3.005,2.94,0.75,0
mFaIzFwvee,44.416,7.658,2.95,3.005,2.94,0.75,0
mH5VsD2M1k,44.416,7.658,0.53,3.005,2.94,0.75,0
mjZavtlHYr,44.416,7.658,4.59,3.005,2.94,0.75,0
mOcSzUSTlz,44.416,7.658,4.42,3.005,2.94,0.75,0
MqBje2Bt9r,44.416,7.658,1.33,3.005,2.94,0.75,0
mVmVuWDxzx,44.416,7.658,0.43,3.005,2.94,0.75,0
mZq7DYnUYc,44.416,7.658,1.58,3.005,2.94,0.75,0
naZWwB2ON2,44.416,7.658,1.84,3.005,2.94,0.75,0
NdKlmVMaUp,44.416,7.658,2.25,3.005,2.94,0.75,0
NED20XrkWF,44.416,7.658,2.13,3.005,2.94,0.75,0
NEfmGqhX0g,44.416,7.658,4.95,3.005,2.94,0.75,0
NJ5eUsG4Qa,44.416,7.658,2.85,3.005,2.94,0.75,0
NmisTS9jgJ,44.416,7.658,4.15,3.005,2.94,0.75,0
nY6aOFIIxX,44.416,7.658,4.25,3.005,2.94,0.75,0
OgLjSCz4If,44.416,7.658,2.26,3.005,2.94,0.75,0
oNPUHowPwK,44.416,7.658,3.47,3.005,2.94,0.75,0
OS3hrrKHU7,44.416,7.658,3.49,3.005,2.94,0.75,0
oV7g9dQD1K,44.416,7.658,4.46,3.005,2.94,0.75,0
p1FoYwXBX5,44.416,7.658,0.86,3.005,2.94,0.75,0
P3nkmOdrWO,44.416,7.658,3.13,3.005,2.94,0.75,0
pbb76BIMFO,44.416,7.658,3.95,3.005,2.94,0.75,0
PkoJBO1X1i,44.416,7.658,0.65,3.005,2.94,0.75,0
PLFI2N2Yhe,44.416,7.658,0.41,3.005,2.94,0.75,0
pmXyPMoBxj,44.416,7.658,3.72,3.005,2.94,0.75,0
ptQx8lWA7V,44.416,7.658,2.48,3.005,2.94,0.75,0
pZiMwSPTT9,44.416,7.658,3.4,3.005,2.94,0.75,0
q2t6mrfh0v,44.416,7.658,0.27,3.005,2.94,0.75,0
Q3Qopccq0i,44.416,7.658,0.23,3.005,2.94,0.75,0
q9f0T3amQe,44.416,7.658,1.8,3.005,2.94,0.75,0
QAntuGIW5r,44.416,7.658,4.79,3.005,2.94,0.75,0
qAQzuKhs7G,44.416,7.658,4.83,3.005,2.94,0.75,0
qBWg1vJNbe,44.416,7.658,3.6,3.005,2.94,0.75,0
qE6sveGv11,44.416,7.658,3.84,3.005,2.94,0.75,0
QFo8TG4pUb,44.416,7.658,3.89,3.005,2.94,0.75,0
QIDhXFXYAn,44.416,7.658,4.85,3.005,2.94,0.75,0
qjmUHpOXTD,44.416,7.658,3.83,3.005,2.94,0.75,0
qSrt965Fjt,44.416,7.658,1.95,3.005,2.94,0.75,0
qY8zhcUK7n,44.416,7.658,3.02,3.005,2.94,0.75,0
qyNfeU3AML,44.416,7.658,0.42,3.005,2.94,0.75,0
R0Gv8fzrhK,44.416,7.658,1.42,3.005,2.94,0.75,0
R6g3LJcJeD,44.416,7.658,0.58,3.005,2.94,0.75,0
RBvjRFe7A3,44.416,7.658,1.34,3.005,2.94,0.75,0
rctYC9ECsC,44.416,7.658,1.94,3.005,2.94,0.75,0
RELvqKMGiV,44.416,7.658,3.46,3.005,2.94,0.75,0
rF3BtCBcAb,44.416,7.658,1.1,3.005,2.94,0.75,0
rPE9d2EP7f,44.416,7.658,2.56,3.005,2.94,0.75,0
RVDsvpYCp9,44.416,7.658,0.64,3.005,2.94,0.75,0
rZyO2dB9yn,44.416,7.658,3.88,3.005,2.94,0.75,0
s5BYDd5ERW,44.416,7.658,3.35,3.005,2.94,0.75,0
s8dRdRrkV1,44.416,7.658,3.77,3.005,2.94,0.75,0
S9nntucnSX,44.416,7.658,4.28,3.005,2.94,0.75,0
SaojeWg0XD,44.416,7.658,0.46,3.005,2.94,0.75,0
SChUCUvkRQ,44.416,7.658,2.57,3.005,2.94,0.75,0
SfHUZ0Qz8q,44.416,7.658,4.42,3.005,2.94,0.75,0
snyFX2AO6c,44.416,7.658,0.36,3.005,2.94,0.75,0
t7hCgsP9Eu,44.416,7.658,0.66,3.005,2.94,0.75,0
TaeoMLbnp3,44.416,7.658,4.63,3.005,2.94,0.75,0
TCmKcfhNwf,44.416,7.658,2.34,3.005,2.94,0.75,0
tjdaxxMhFN,44.416,7.658,1.88,3.005,2.94,0.75,0
tMHcSxjq7l,44.416,7.658,1.62,3.005,2.94,0.75,0
tNy6SeAYlV,44.416,7.658,1.79,3.005,2.94,0.75,0
tRxe2EGPj5,44.416,7.658,4.37,3.005,2.94,0.75,0
TTUcUR5xlh,44.416,7.658,1.03,3.005,2.94,0.75,0
tVRkpv7EnZ,44.416,7.658,2.93,3.005,2.94,0.75,0
tWLxb0n5Ch,44.416,7.658,4.62,3.005,2.94,0.75,0
TYkhAIU1um,44.416,7.658,0.22,3.005,2.94,0.75,0
TyNf9ExqjZ,44.416,7.658,4.31,3.005,2.94,0.75,0
u77DEo374t,44.416,7.658,0.69,3.005,2.94,0.75,0
ubNOvri0vB,44.416,7.658,4.9,3.005,2.94,0.75,0
ubQZlN2bZp,44.416,7.658,4.2,3.005,2.94,0.75,0
UFKRYKe6I3,44.416,7.658,0.3,3.005,2.94,0.75,0
UfZzeQdOjM,44.416,7.658,3.08,3.005,2.94,0.75,0
uJLqqU3J7H,44.416,7.658,4.34,3.005,2.94,0.75,0
UMPYeKKrU2,44.416,7.658,4.47,3.005,2.94,0.75,0
uo6ji3Qvhl,44.416,7.658,1.14,3.005,2.94,0.75,0
UpwCsXeTsY,44.416,7.658,3.8,3.005,2.94,0.75,0
URZH6RDUSq,44.416,7.658,2,3.005,2.94,0.75,0
UVweZJjLK2,44.416,7.658,1.39,3.005,2.94,0.75,0
uzbuP4eVLo,44.416,7.658,1.93,3.005,2.94,0.75,0
v2MIOedEJZ,44.416,7.658,1.14,3.005,2.94,0.75,0
V30FqslOps,44.416,7.658,0.51,3.005,2.94,0.75,0
v8K73G8MEZ,44.416,7.658,3.46,3.005,2.94,0.75,0
Vin4UiZlf9,44.416,7.658,1.64,3.005,2.94,0.75,0
vpB2upWnk4,44.416,7.658,1.51,3.005,2.94,0.75,0
vqhuVhA1gQ,44.416,7.658,3.29,3.005,2.94,0.75,0
vUwrhQNhIv,44.416,7.658,2.36,3.005,2.94,0.75,0
wmkPa6IIpB,44.416,7.658,2.49,3.005,2.94,0.75,0
wokUNmiAMW,44.416,7.658,5,3.005,2.94,0.75,0
X02owofgBA,44.416,7.658,4.29,3.005,2.94,0.75,0
x57BuLfHCV,44.416,7.658,1.77,3.005,2.94,0.75,0
X6m0lDEprJ,44.416,7.658,4.23,3.005,2.94,0.75,0
xFmYjLYDmh,44.416,7.658,1.67,3.005,2.94,0.75,0
xJCxgrzjgb,44.416,7.658,0.79,3.005,2.94,0.75,0
Xpt50k7946,44.416,7.658,3.25,3.005,2.94,0.75,0
xWzggXYLDX,44.416,7.658,4.11,3.005,2.94,0.75,0
XXskcf1ENl,44.416,7.658,1.1,3.005,2.94,0.75,0
yfSOIleyc1,44.416,7.658,2.12,3.005,2.94,0.75,0
yiMEE2viso,44.416,7.658,3.6,3.005,2.94,0.75,0
ykB1yErk31,44.416,7.658,3.87,3.005,2.94,0.75,0
z7YjkTgZ1M,44.416,7.658,1.07,3.005,2.94,0.75,0
ZI1LWK5Moe,44.416,7.658,4.25,3.005,2.94,0.75,0
ZJ5Mvzoeht,44.416,7.658,3.47,3.005,2.94,0.75,0
ZL0ustyoBZ,44.416,7.658,0.6,3.005,2.94,0.75,0
zv3qeee1dJ,44.416,7.658,3.54,3.005,2.94,0.75,0
zVa0INgSmK,44.416,7.658,1.07,3.005,2.94,0.75,0
ZyFMiATzJF,44.416,7.658,1.08,3.005,2.94,0.75,0
